Cardiac Cycle (beat),ECG_P_Peaks,ECG_Q_Peaks,ECG_R_Peaks,ECG_S_Peaks,ECG_T_Peaks,Px,Py,Qx,Qy,Rx,Ry,Sx,Sy,Tx,Ty,OnQRS_x,OffQRS_x,OnQRS_y,OffQRS_y,PPinterval,QQinterval,RRinterval,SSinterval,TTinterval,PP2,QQ2,RR2,SS2,TT2,P-Pamplitude,Q-Qamplitude,R-Ramplitude,S-Samplitude,T-Tamplitude,R-R2amplitude,Q-Q2amplitude,R-R2amplitude,S-S2amplitude,T-T2amplitude,P->R interval,Q->S interval,Q->T interval,T->Q interval,P->R segment,S->T segment,PQ_y_diff,QR_y_diff,RS_y_diff,ST_y_diff,HRV-RRinterval,HRV-PreRRinterval,HRV-PosRRinterval,HPF X4,HPF X5
54,8931,8949,8954,8962,9021,0,0.0175781,18,-0.290039,23,0.810791,31,-0.125244,90,0.0285645,9.0,60.5,-0.32959,-0.013183600000000002,0,-13,-10,-5,-33,9021,9008,9011,9016,8988,0.0109864,0.28564447,-0.7822265,0.1010741,-0.021972699999999998,-0.7822265,0.28564447,-0.7822265,0.1010741,-0.021972699999999998,23,13,72,5,23,59,-0.3076171,1.10083,-0.9360350000000001,0.1538085,144,63,80,81,-64
55,9021,9026,9034,9047,9078,0,0.0285645,5,-0.00439453,13,0.0285645,26,-0.0241699,57,0.006591800000000001,2.5,41.5,-0.054931600000000004,-0.026367200000000004,0,15,13,7,34,9140,9155,9153,9147,9174,-0.006591799999999998,-0.38891647,0.7229005,-0.07910110000000001,0.0153809,0.7229005,-0.38891647,0.7229005,-0.07910110000000001,0.0153809,13,21,52,82,13,31,-0.03295903,0.03295903,-0.0527344,0.030761700000000003,80,144,132,-64,52
56,9140,9160,9166,9173,9231,0,0.0219727,20,-0.393311,26,0.7514649999999999,33,-0.103271,91,0.0219727,10.0,62.0,-0.44824200000000003,-0.0153809,0,-2,-2,-2,-6,9357,9355,9355,9355,9351,0.0,0.026368000000000058,-0.07690399999999997,0.006591299999999994,0.0021972,-0.07690399999999997,0.026368000000000058,-0.07690399999999997,0.006591299999999994,0.0021972,26,13,71,144,26,58,-0.41528370000000003,1.144776,-0.8547359999999999,0.1252437,132,80,215,52,83
57,9357,9375,9381,9388,9442,0,0.0219727,18,-0.36694299999999996,24,0.674561,31,-0.09667970000000001,85,0.0241699,9.0,58.0,-0.32959,-0.039550800000000004,0,1,1,1,2,9573,9574,9574,9574,9575,-0.004394600000000002,-0.01098700000000008,-0.02197299999999991,-0.010986300000000004,-0.006591800000000002,-0.02197299999999991,-0.01098700000000008,-0.02197299999999991,-0.010986300000000004,-0.006591800000000002,24,13,67,150,24,54,-0.3889157,1.041504,-0.7712407,0.1208496,215,132,217,83,2
58,9573,9592,9598,9605,9660,0,0.0175781,19,-0.37793000000000004,25,0.6525880000000001,32,-0.10766600000000001,87,0.0175781,9.5,59.5,-0.32959,-0.026367200000000004,0,0,-1,0,-40,9791,9791,9790,9791,9751,0.015380899999999996,0.09668000000000004,0.030761999999999956,0.0065920000000000145,-0.0395508,0.030761999999999956,0.09668000000000004,0.030761999999999956,0.0065920000000000145,-0.0395508,25,13,68,150,25,55,-0.39550810000000003,1.030518,-0.7602540000000001,0.12524410000000002,217,215,217,2,0
59,9791,9810,9815,9823,9838,0,0.032958999999999995,19,-0.28125,24,0.68335,32,-0.101074,47,-0.0219727,9.5,39.5,-0.32959,-0.0241699,0,0,1,0,43,10003,10003,10004,10003,10046,0.006591800000000009,-0.09887699999999999,0.09448199999999995,-0.017577999999999996,0.0395508,0.09448199999999995,-0.09887699999999999,0.09448199999999995,-0.017577999999999996,0.0395508,24,13,28,184,24,15,-0.314209,0.9646,-0.784424,0.0791013,217,217,213,0,-4
60,10003,10022,10028,10035,10093,0,0.039550800000000004,19,-0.380127,25,0.777832,32,-0.118652,90,0.0175781,9.5,61.0,-0.32959,-0.0153809,0,22,20,29,15,10106,10128,10126,10135,10121,-0.010986300000000004,0.4174805,-0.577881,0.05053680000000001,0.0021973000000000027,-0.577881,0.4174805,-0.577881,0.05053680000000001,0.0021973000000000027,25,13,71,54,25,58,-0.4196778,1.157959,-0.896484,0.1362301,213,217,123,-4,-90
61,10106,10147,10151,10167,10211,0,0.0285645,41,0.037353500000000005,45,0.199951,61,-0.06811519999999999,105,0.019775400000000002,20.5,83.0,0.037353500000000005,0.0,0,-21,-19,-28,-13,10211,10190,10192,10183,10198,-0.008789099999999998,-0.45043949999999994,0.606445,-0.07470680000000002,0.008789099999999998,0.606445,-0.45043949999999994,0.606445,-0.07470680000000002,0.008789099999999998,45,20,64,20,45,44,0.008789000000000005,0.16259749999999998,-0.2680662,0.08789059999999999,123,213,86,-90,-37
62,10211,10231,10237,10244,10303,0,0.019775400000000002,20,-0.41308599999999995,26,0.806396,33,-0.142822,92,0.0285645,10.0,62.5,-0.44824200000000003,-0.0153809,0,0,-1,2,-38,10423,10423,10422,10425,10385,0.0021972999999999993,0.07470699999999997,-0.0021970000000000045,-0.15161200000000002,0.006591800000000002,-0.0021970000000000045,0.07470699999999997,-0.0021970000000000045,-0.15161200000000002,0.006591800000000002,26,13,72,140,26,59,-0.43286139999999995,1.219482,-0.949218,0.1713865,86,123,211,-37,125
63,10423,10443,10448,10458,10477,0,0.0219727,20,-0.338379,25,0.804199,35,-0.29443400000000003,54,0.0351563,10.0,44.5,-0.44824200000000003,-0.0285645,0,-1,0,-3,36,10638,10637,10638,10635,10674,-0.0087891,-0.02416999999999997,-0.13183599999999995,0.15380900000000003,0.010986299999999997,-0.13183599999999995,-0.02416999999999997,-0.13183599999999995,0.15380900000000003,0.010986299999999997,25,15,34,180,25,19,-0.3603517,1.1425779999999999,-1.098633,0.3295903,211,86,215,125,4
64,10638,10657,10663,10670,10728,0,0.013183600000000002,19,-0.36254899999999995,25,0.672363,32,-0.140625,90,0.0461426,9.5,61.0,-0.32959,-0.0153809,0,0,0,0,-6,10856,10856,10856,10856,10850,0.0087891,0.015380999999999978,-0.013183000000000056,0.04174800000000001,-0.0307617,-0.013183000000000056,0.015380999999999978,-0.013183000000000056,0.04174800000000001,-0.0307617,25,13,71,147,25,58,-0.37573259999999997,1.034912,-0.812988,0.1867676,215,211,218,4,3
65,10856,10875,10881,10888,10940,0,0.0219727,19,-0.347168,25,0.65918,32,-0.09887699999999999,84,0.0153809,9.5,58.0,-0.32959,-0.039550800000000004,0,-3,-3,-3,3,11079,11076,11076,11076,11082,-0.006591800000000002,-0.00219700000000006,0.028563999999999923,0.0,0.010986300000000004,0.028563999999999923,-0.00219700000000006,0.028563999999999923,0.0,0.010986300000000004,25,13,65,155,25,52,-0.3691407,1.006348,-0.758057,0.1142579,218,215,220,3,2
66,11079,11095,11101,11108,11166,0,0.0153809,16,-0.34936500000000004,22,0.6877439999999999,29,-0.09887699999999999,87,0.026367200000000004,8.0,58.0,-0.19775399999999999,-0.039550800000000004,0,2,2,8,-37,11295,11297,11297,11303,11258,0.008789000000000002,-0.048339999999999994,0.138428,-0.039551,0.0131836,0.138428,-0.048339999999999994,0.138428,-0.039551,0.0131836,22,13,71,147,22,58,-0.3647459,1.037109,-0.7866209999999999,0.1252442,220,218,218,2,-2
67,11295,11313,11319,11332,11345,0,0.0241699,18,-0.39770500000000003,24,0.8261719999999999,37,-0.138428,50,0.039550800000000004,9.0,43.5,-0.32959,-0.026367200000000004,0,8,11,16,7,11387,11395,11398,11403,11394,0.0175781,0.39331047,-0.6416019999999999,0.10107449999999998,-0.05273440000000001,-0.6416019999999999,0.39331047,-0.6416019999999999,0.10107449999999998,-0.05273440000000001,24,19,32,68,24,13,-0.42187490000000005,1.2238769999999999,-0.9645999999999999,0.1779788,218,220,103,-2,-115
68,11387,11413,11422,11440,11444,0,0.041748,26,-0.00439453,35,0.18457,53,-0.037353500000000005,57,-0.013183600000000002,13.0,55.0,-0.138428,-0.0241699,0,-8,-12,-22,28,11513,11505,11501,11491,11541,-0.0263671,-0.31420947,0.643799,-0.0812985,0.0417481,0.643799,-0.31420947,0.643799,-0.0812985,0.0417481,35,27,31,87,35,4,-0.04614253,0.18896453000000002,-0.22192350000000002,0.0241699,103,218,114,-115,11
69,11513,11531,11536,11544,11598,0,0.0153809,18,-0.318604,23,0.828369,31,-0.118652,85,0.0285645,9.0,58.0,-0.32959,-0.039550800000000004,0,1,2,1,6,11730,11731,11732,11731,11736,0.004394500000000003,-0.09008699999999997,-0.035155999999999965,-0.006592000000000001,-0.002197299999999996,-0.035155999999999965,-0.09008699999999997,-0.035155999999999965,-0.006592000000000001,-0.002197299999999996,23,13,67,151,23,54,-0.3339849,1.146973,-0.947021,0.1472165,114,103,219,11,105
70,11730,11749,11755,11762,11821,0,0.019775400000000002,19,-0.40869099999999997,25,0.7932130000000001,32,-0.125244,91,0.026367200000000004,9.5,61.5,-0.32959,-0.0153809,0,0,-1,0,1,11952,11952,11951,11952,11953,0.004394499999999999,0.04174800000000001,-0.08569300000000013,0.019774999999999987,0.008789099999999998,-0.08569300000000013,0.04174800000000001,-0.08569300000000013,0.019774999999999987,0.008789099999999998,25,13,72,150,25,59,-0.42846639999999997,1.201904,-0.9184570000000001,0.1516112,219,114,221,105,2
71,11952,11971,11976,11984,12044,0,0.0241699,19,-0.36694299999999996,24,0.7075199999999999,32,-0.10546900000000001,92,0.0351563,9.5,62.0,-0.32959,-0.0153809,0,1,1,1,-2,12174,12175,12175,12175,12172,-0.004394499999999999,0.02856399999999998,-0.039551,0.0065920000000000145,-0.0153809,-0.039551,0.02856399999999998,-0.039551,0.0065920000000000145,-0.0153809,24,13,73,150,24,60,-0.3911129,1.074463,-0.812989,0.1406253,221,219,223,2,2
72,12174,12194,12199,12207,12264,0,0.019775400000000002,20,-0.338379,25,0.6679689999999999,33,-0.09887699999999999,90,0.019775400000000002,10.0,61.5,-0.44824200000000003,-0.0153809,0,-1,-1,-1,-2,12400,12399,12399,12399,12398,0.008789099999999998,0.010985999999999996,0.04834000000000005,-0.004394000000000009,0.008789099999999998,0.04834000000000005,0.010985999999999996,0.04834000000000005,-0.004394000000000009,0.008789099999999998,25,13,70,155,25,57,-0.3581544,1.006348,-0.7668459999999999,0.11865239999999999,223,221,225,2,2
73,12400,12419,12424,12432,12488,0,0.0285645,19,-0.327393,24,0.716309,32,-0.103271,88,0.0285645,9.5,60.0,-0.32959,-0.013183600000000002,0,-13,-12,-13,-10,12634,12621,12622,12621,12624,0.10327149999999999,-0.015380000000000005,0.03076100000000004,-0.07250999999999999,-0.0043945999999999985,0.03076100000000004,-0.015380000000000005,0.03076100000000004,-0.07250999999999999,-0.0043945999999999985,24,13,69,152,24,56,-0.3559575,1.043702,-0.81958,0.1318355,225,223,222,2,-3
74,12634,12640,12646,12653,12712,0,0.13183599999999998,6,-0.342773,12,0.74707,19,-0.175781,78,0.0241699,3.0,48.5,-0.037353500000000005,-0.019775400000000002,0,17,21,21,11,12712,12729,12733,12733,12723,-0.10766609999999999,0.2944332,-0.6965329,0.18896459999999998,-0.026367170000000002,-0.6965329,0.2944332,-0.6965329,0.18896459999999998,-0.026367170000000002,12,13,72,23,12,59,-0.47460899999999995,1.0898430000000001,-0.922851,0.1999509,222,225,99,-3,-123
75,12712,12735,12745,12752,12801,0,0.0241699,23,-0.0483398,33,0.0505371,40,0.013183600000000002,89,-0.00219727,11.5,64.5,-0.439453,-0.0175781,0,-3,-8,-8,-34,12840,12837,12832,12832,12806,-0.0109863,-0.25488320000000003,0.7712399000000001,-0.1428226,-0.00878903,0.7712399000000001,-0.25488320000000003,0.7712399000000001,-0.1428226,-0.00878903,33,17,66,59,33,49,-0.07250970000000001,0.0988769,-0.0373535,-0.015380870000000001,99,222,120,-123,21
76,12840,12860,12865,12872,12895,0,0.013183600000000002,20,-0.303223,25,0.8217770000000001,32,-0.129639,55,-0.0109863,10.0,43.5,-0.44824200000000003,-0.026367200000000004,0,1,1,2,1,13062,13063,13063,13064,13063,0.0087891,-0.026366999999999974,-0.0593260000000001,0.03955110000000002,0.0,-0.0593260000000001,-0.026366999999999974,-0.0593260000000001,0.03955110000000002,0.0,25,12,35,188,25,23,-0.31640660000000004,1.125,-0.951416,0.1186527,120,99,223,21,103
77,13062,13083,13088,13096,13118,0,0.0219727,21,-0.32959,26,0.762451,34,-0.09008789999999998,56,-0.0109863,10.5,45.0,-0.44824200000000003,-0.0175781,0,-4,-4,-4,29,13291,13287,13287,13287,13320,-0.0021972999999999993,0.07250999999999996,-0.07470700000000008,0.00878909999999998,0.0351562,-0.07470700000000008,0.07250999999999996,-0.07470700000000008,0.00878909999999998,0.0351562,26,13,35,190,26,22,-0.3515627,1.092041,-0.8525389,0.07910159999999998,223,120,225,103,2
78,13291,13308,13313,13321,13376,0,0.019775400000000002,17,-0.25708000000000003,22,0.6877439999999999,30,-0.0812988,85,0.0241699,8.5,57.5,-0.19775399999999999,-0.032958999999999995,0,2,2,2,3,13516,13518,13518,13518,13519,0.008789099999999998,-0.08349600000000001,-0.03955099999999989,-0.024170200000000003,-0.0021972,-0.03955099999999989,-0.08349600000000001,-0.03955099999999989,-0.024170200000000003,-0.0021972,22,13,68,159,22,55,-0.27685540000000003,0.9448239999999999,-0.7690427999999999,0.1054687,225,223,227,2,2
79,13516,13535,13540,13548,13604,0,0.0285645,19,-0.34057600000000005,24,0.648193,32,-0.10546900000000001,88,0.0219727,9.5,60.0,-0.32959,-0.013183600000000002,0,1,1,1,3,13739,13740,13740,13740,13742,0.006591800000000002,-0.004394999999999982,0.11645499999999998,-0.02197199999999999,-0.0021972999999999993,0.11645499999999998,-0.004394999999999982,0.11645499999999998,-0.02197199999999999,-0.0021972999999999993,24,13,69,155,24,56,-0.36914050000000004,0.988769,-0.753662,0.12744170000000002,227,225,224,2,-3
80,13739,13759,13764,13772,13830,0,0.0351563,20,-0.344971,25,0.764648,33,-0.127441,91,0.019775400000000002,10.0,62.0,-0.44824200000000003,-0.0153809,0,-2,-3,-1,-32,13830,13828,13827,13829,13798,-0.0153809,0.35815460000000005,-0.610839,0.0637203,0.010986300000000001,-0.610839,0.35815460000000005,-0.610839,0.0637203,0.010986300000000001,25,13,71,18,25,58,-0.38012730000000006,1.109619,-0.892089,0.1472164,224,227,88,-3,-136
81,13830,13848,13852,13862,13889,0,0.019775400000000002,18,0.013183600000000002,22,0.153809,32,-0.0637207,59,0.030761700000000003,9.0,45.5,-0.32959,-0.0175781,0,0,2,-1,30,13962,13962,13964,13961,13992,0.006591800000000002,-0.4130856,0.648193,-0.0637203,-0.0021972000000000033,0.648193,-0.4130856,0.648193,-0.0637203,-0.0021972000000000033,22,14,41,91,22,27,-0.0065918,0.1406254,-0.2175297,0.09448240000000001,88,224,134,-136,46
82,13962,13980,13986,13993,14051,0,0.026367200000000004,18,-0.399902,24,0.802002,31,-0.127441,89,0.0285645,9.0,60.0,-0.32959,-0.013183600000000002,0,7,7,8,-46,14019,14026,14026,14027,13973,-0.03515626,0.3889157,-0.769043,0.1120601,-0.015380899999999998,-0.769043,0.3889157,-0.769043,0.1120601,-0.015380899999999998,24,13,71,-7,24,58,-0.42626919999999996,1.2019039999999999,-0.929443,0.1560055,134,88,64,46,-70
83,14019,14044,14050,14058,14062,0,-0.00878906,25,-0.0109863,31,0.032958999999999995,39,-0.0153809,43,0.013183600000000002,12.5,41.0,-0.283447,-0.026367200000000004,0,-5,-6,-6,13,14187,14182,14181,14181,14200,0.02856446,-0.3339847,0.727295,-0.1647951,0.0087891,0.727295,-0.3339847,0.727295,-0.1647951,0.0087891,31,14,18,145,31,4,-0.0021972399999999996,0.04394529999999999,-0.04833989999999999,0.0285645,64,134,162,-70,98
84,14187,14207,14212,14220,14243,0,0.019775400000000002,20,-0.344971,25,0.760254,33,-0.180176,56,0.0219727,10.0,44.5,-0.44824200000000003,-0.0285645,0,0,-3,-7,-14,14327,14327,14324,14320,14313,-0.010986340000000002,0.33618194,-0.75146494,0.17578147,-0.010986400000000002,-0.75146494,0.33618194,-0.75146494,0.17578147,-0.010986400000000002,25,13,36,104,25,23,-0.3647464,1.105225,-0.94043,0.20214870000000001,162,64,137,98,-25
85,14327,14347,14349,14353,14369,0,0.00878906,20,-0.00878906,22,0.00878906,26,-0.00439453,42,0.0109863,10.0,34.0,-0.44824200000000003,-0.037353500000000005,0,0,3,7,50,14417,14417,14420,14424,14467,0.004394540000000002,-0.25268594,0.73168994,-0.09887647000000001,0.013183600000000002,0.73168994,-0.25268594,0.73168994,-0.09887647000000001,0.013183600000000002,22,6,22,68,22,16,-0.01757812,0.01757812,-0.013183589999999999,0.015380829999999998,137,162,93,-25,-44
86,14417,14437,14442,14450,14509,0,0.013183600000000002,20,-0.261475,25,0.740479,33,-0.103271,92,0.0241699,10.0,62.5,-0.44824200000000003,-0.0153809,0,0,0,-1,-36,14649,14649,14649,14648,14613,0.0241699,0.006592000000000042,-0.05493199999999998,-0.0021980000000000055,-0.0241699,-0.05493199999999998,0.006592000000000042,-0.05493199999999998,-0.0021980000000000055,-0.0241699,25,13,72,160,25,59,-0.27465860000000003,1.001954,-0.84375,0.1274409,93,137,232,-44,139
87,14649,14669,14674,14681,14705,0,0.037353500000000005,20,-0.25488299999999997,25,0.685547,32,-0.10546900000000001,56,0.0,10.0,44.0,-0.44824200000000003,-0.0285645,0,0,0,-1,33,14882,14882,14882,14881,14915,-0.008789000000000005,-0.00219700000000006,-0.013183999999999974,0.00439500000000001,0.030761700000000003,-0.013183999999999974,-0.00219700000000006,-0.013183999999999974,0.00439500000000001,0.030761700000000003,25,12,36,197,25,24,-0.29223649999999995,0.94043,-0.791016,0.10546900000000001,232,93,233,139,1
88,14882,14902,14907,14913,14971,0,0.0285645,20,-0.25708000000000003,25,0.672363,31,-0.101074,89,0.030761700000000003,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,0,0,2,5,15115,15115,15115,15117,15120,0.0,-0.06152399999999997,0.052734999999999865,-0.017577999999999996,0.0021972999999999923,0.052734999999999865,-0.06152399999999997,0.052734999999999865,-0.017577999999999996,0.0021972999999999923,25,11,69,164,25,58,-0.2856445,0.929443,-0.773437,0.1318357,233,232,233,1,0
89,15115,15135,15140,15148,15209,0,0.0285645,20,-0.318604,25,0.7250979999999999,33,-0.118652,94,0.032958999999999995,10.0,63.5,-0.44824200000000003,-0.006591800000000001,0,5,2,0,-3,15252,15257,15254,15252,15249,-0.01977544,0.3120122,-0.7163089399999999,0.1120602,-0.008789099999999994,-0.7163089399999999,0.3120122,-0.7163089399999999,0.1120602,-0.008789099999999994,25,13,74,68,25,61,-0.3471685,1.043702,-0.8437499999999999,0.151611,233,233,139,0,-94
90,15252,15277,15279,15285,15343,0,0.00878906,25,-0.006591800000000001,27,0.00878906,33,-0.006591800000000001,91,0.0241699,12.5,62.0,-0.283447,-0.0153809,0,-5,-2,-2,0,15343,15338,15341,15341,15343,0.015380840000000002,-0.3229982,0.77563494,-0.1450192,0.008789099999999994,0.77563494,-0.3229982,0.77563494,-0.1450192,0.008789099999999994,27,8,66,20,27,58,-0.01538086,0.01538086,-0.01538086,0.030761700000000003,139,233,89,-94,-50
91,15343,15363,15368,15374,15434,0,0.0241699,20,-0.32959,25,0.784424,31,-0.151611,91,0.032958999999999995,10.0,61.0,-0.44824200000000003,-0.0153809,0,-1,0,1,-2,15569,15568,15569,15570,15567,-0.004394499999999999,-0.06591799999999998,-0.013184000000000085,0.043944999999999984,0.0043945000000000095,-0.013184000000000085,-0.06591799999999998,-0.013184000000000085,0.043944999999999984,0.0043945000000000095,25,11,71,154,25,60,-0.3537599,1.114014,-0.936035,0.18456999999999998,89,139,226,-50,137
92,15569,15588,15594,15601,15658,0,0.019775400000000002,19,-0.39550799999999997,25,0.7712399999999999,32,-0.10766600000000001,89,0.037353500000000005,9.5,60.5,-0.32959,-0.013183600000000002,0,0,0,0,-4,15797,15797,15797,15797,15793,0.008789099999999998,0.017577999999999927,-0.08788999999999991,0.0,-0.015380800000000003,-0.08788999999999991,0.017577999999999927,-0.08788999999999991,0.0,-0.015380800000000003,25,13,70,158,25,57,-0.41528339999999997,1.166748,-0.878906,0.14501950000000002,226,89,228,137,2
93,15797,15816,15822,15829,15882,0,0.0285645,19,-0.37793000000000004,25,0.68335,32,-0.10766600000000001,85,0.0219727,9.5,58.5,-0.32959,-0.039550800000000004,0,1,0,1,4,16025,16026,16025,16026,16029,-0.0109864,0.08789100000000005,0.008789000000000047,0.0197754,-0.0021972999999999993,0.008789000000000047,0.08789100000000005,0.008789000000000047,0.0197754,-0.0021972999999999993,25,13,66,163,25,53,-0.40649450000000004,1.06128,-0.791016,0.12963870000000002,228,226,228,2,0
94,16025,16045,16050,16058,16114,0,0.0175781,20,-0.290039,25,0.6921390000000001,33,-0.08789060000000001,89,0.019775400000000002,10.0,61.0,-0.44824200000000003,-0.0153809,0,-2,-2,-2,1,16259,16257,16257,16257,16260,0.0109864,-0.028565000000000007,-0.037354,-0.008789099999999994,0.004394499999999999,-0.037354,-0.028565000000000007,-0.037354,-0.008789099999999994,0.004394499999999999,25,13,69,163,25,56,-0.3076171,0.982178,-0.7800296000000001,0.10766600000000001,228,228,232,0,4
95,16259,16277,16282,16290,16349,0,0.0285645,18,-0.318604,23,0.6547850000000001,31,-0.09667970000000001,90,0.0241699,9.0,60.5,-0.32959,-0.013183600000000002,0,1,2,2,3,16489,16490,16491,16491,16492,-0.008789099999999998,-0.07690399999999997,0.08569399999999994,-0.0329593,0.006591800000000002,0.08569399999999994,-0.07690399999999997,0.08569399999999994,-0.0329593,0.006591800000000002,23,13,72,159,23,59,-0.3471685,0.9733890000000001,-0.7514647000000001,0.1208496,232,228,232,4,0
96,16489,16508,16514,16522,16582,0,0.019775400000000002,19,-0.39550799999999997,25,0.740479,33,-0.129639,93,0.030761700000000003,9.5,63.0,-0.32959,-0.006591800000000001,0,0,0,-2,-3,16716,16716,16716,16714,16713,-0.004394500000000003,0.02416999999999997,0.04833900000000002,0.006592000000000001,-0.0021972000000000033,0.04833900000000002,0.02416999999999997,0.04833900000000002,0.006592000000000001,-0.0021972000000000033,25,14,74,153,25,60,-0.41528339999999997,1.135987,-0.870118,0.1604007,232,232,227,0,-5
97,16716,16735,16741,16747,16806,0,0.0153809,19,-0.371338,25,0.788818,31,-0.123047,90,0.0285645,9.5,60.5,-0.32959,-0.013183600000000002,0,0,-1,1,-4,16945,16945,16944,16946,16941,0.0131836,-0.0021970000000000045,-0.07470700000000008,0.013183999999999987,-0.006591799999999998,-0.07470700000000008,-0.0021970000000000045,-0.07470700000000008,0.013183999999999987,-0.006591799999999998,25,12,71,158,25,59,-0.3867189,1.160156,-0.911865,0.1516115,227,232,228,-5,1
98,16945,16964,16969,16977,17031,0,0.0285645,19,-0.373535,24,0.7141109999999999,32,-0.10986300000000002,86,0.0219727,9.5,59.0,-0.32959,-0.026367200000000004,0,0,0,0,5,17176,17176,17176,17176,17181,-0.002197299999999996,0.02416999999999997,-0.0439449999999999,-0.0021979999999999777,0.010986299999999994,-0.0439449999999999,0.02416999999999997,-0.0439449999999999,-0.0021979999999999777,0.010986299999999994,24,13,67,164,24,54,-0.4020995,1.087646,-0.823974,0.13183570000000003,228,227,231,1,3
